video_url,user_url,username,title,view_num,created_at,shortdesc,collected_at
/watch?v=KYYVjT0mQB8&pp=ygUdYWxnb3JpdGhtIGJpYXMgZGlzY3JpbWluYXRpb24%3D,/@CBSNews,CBS News,Racial bias found in health care company algorithm,12K,6 years,New York insurance regulators are opening an investigation into UnitedHealth Group over allegations it uses a racially biased ...,2026-01-22 03:30:59.161818
/shorts/uj7-TM_GoZY,/@TheJMORConnection,The JMOR Connection,Did you know Workday was Sued for Age Discrimination in Hiring Algorithm?,1K,7 months,"Did you know Workday was Sued for Age Discrimination in Hiring Algorithm? Workday, a major provider of hiring and workforce ...",2026-01-22 03:30:59.165465
/shorts/CwWFo5ZgUuA,/@SkillRiseHub,SkillRise Hub,THIS AI MADE A RACIST DECISION — Here’s What Went Wrong (AI Bias Explained),12,4 months,THIS AI MADE A RACIST DECISION — Here's What Went Wrong (AI Bias Explained) An AI system made a racist decision ...,2026-01-22 03:30:59.166879
/watch?v=qoF317HtLgQ&pp=ygUdYWxnb3JpdGhtIGJpYXMgZGlzY3JpbWluYXRpb27SBwkJhwoBhyohjO8%3D,/@ControversialAI,ControversialAI,What does Algorithm Bias and Discrimination lead to? | AI Answers,16,2 years,"If you like to use Pictory to create your videos, enter the promo code: ""jay56"" at checkout to get 20% off your subscription until you ...",2026-01-22 03:30:59.168099
/watch?v=F4r_o08hf9w&pp=ygUdYWxnb3JpdGhtIGJpYXMgZGlzY3JpbWluYXRpb27SBwkJhwoBhyohjO8%3D,/@ExperianGlobal,Experian,How Racial Bias in Data & Algorithms Continue to Hurt Black Communities w/ Renée Cummings #DataTalk,195,5 years,"Renée Cummings is a criminologist, AI ethicist and founder of Urban AI. She is also a community scholar at Columbia University.",2026-01-22 03:30:59.169324
/watch?v=Lvr6_bC76TQ&pp=ygUdYWxnb3JpdGhtIGJpYXMgZGlzY3JpbWluYXRpb24%3D,/@InternationalScienceCouncil,International Science Council,Battling bias in AI,188,4 years,A team weeds out discrimination for an inclusive AI world. This video is part of the #UnlockingScience series: ...,2026-01-22 03:30:59.170658
/shorts/IY7WP2UArTk,/@itgetslateearly,Maureen W Clough,How Algorithms Discriminate When No One's Watching #career #agebias #algorithm #tech,2.4K,1 year,Check the full episode here: https://youtu.be/AJblzbrImiE Connect with Maureen Wiley Clough: - Instagram: ...,2026-01-22 03:30:59.172011
/watch?v=mgy0oJqgABA&pp=ygUdYWxnb3JpdGhtIGJpYXMgZGlzY3JpbWluYXRpb24%3D,/@DanskeBankLithuania,Danske Bank Lithuania,Can Algorithms Discriminate? Uncovering the Biases in AI Systems. Dalia Breskuviene,206,2 years,"""As artificial intelligence (AI) becomes increasingly integrated into various aspects of our lives, concerns about its potential for ...",2026-01-22 03:31:07.396484
/watch?v=jF_aZjZ2rcI&pp=ygUdYWxnb3JpdGhtIGJpYXMgZGlzY3JpbWluYXRpb24%3D,/@aljazeeraenglish,Al Jazeera English,Does AI perpetuate human bias?  | Digital Dilemma,8.2K,2 years,AI bias is not new. Rather it is a problem that is escalating as newer AI technologies are being deployed in various parts of our ...,2026-01-22 03:31:07.398829
/watch?v=S50sfIOeMEU&pp=ygUdYWxnb3JpdGhtIGJpYXMgZGlzY3JpbWluYXRpb24%3D,/@BHBA,Beverly Hills Bar Association,Recognizing and Eliminating Bias. AI & Algorithmic Discrimination,236,5 years,How has Artificial Intelligence (AI) contributed to incidents of bias? What if the AI is based on unconsciously biased data? We will ...,2026-01-22 03:31:07.401150
/watch?v=zEXgrHooW6M&pp=ygUdYWxnb3JpdGhtIGJpYXMgZGlzY3JpbWluYXRpb24%3D,/@whatshotlondon,What's Hot London?,Can an Algorithm be Racist?,132,6 years,"Algorithms are everywhere. They suggest what to buy on Amazon, what memes to look at on Facebook, and probably suggested ...",2026-01-22 03:31:07.404443
/watch?v=_X-V40zr6x8&pp=ygUdYWxnb3JpdGhtIGJpYXMgZGlzY3JpbWluYXRpb24%3D,/@theGrioPolitics,theGrio Politics,Facebook’s Algorithms Spark Racial Bias Concerns,319,4 years,"How much does Facebook know about its users? BNC's Kelly Wright says the answer is probably more than users realize, and it's ...",2026-01-22 03:31:07.405656
/watch?v=JAw4z2i0COk&pp=ygUdYWxnb3JpdGhtIGJpYXMgZGlzY3JpbWluYXRpb24%3D,/@ResponsibleAI.future,Responsible AI,Outsmarting AI Bias in Hiring,64,6 months,Part 4: How Job Seekers Can Beat AI Discrimination in Hiring | Complete Guide to Resume Optimization Welcome to the final ...,2026-01-22 03:31:07.406963
/watch?v=XaNecmZWN8s&pp=ygUdYWxnb3JpdGhtIGJpYXMgZGlzY3JpbWluYXRpb24%3D,/@AIandTechnologyLaw,AI and Technology Law,How Do Algorithms Cause Proxy Discrimination In AI? - AI and Technology Law,4,3 months,How Do Algorithms Cause Proxy Discrimination In AI? Are algorithms causing unintentional bias in decision-making processes?,2026-01-22 03:31:07.408261
/watch?v=23kmWBH0g8g&pp=ygUdYWxnb3JpdGhtIGJpYXMgZGlzY3JpbWluYXRpb24%3D,/@HealthAffairsJournal,Health Affairs,Tackling Bias in Health Care Algorithms,59,3 years,California Attorney General Rob Bonta is investigating hospitals' software algorithms to help identify potential racial biases in the ...,2026-01-22 03:31:07.409679
/watch?v=RNBOGqGCmeo&pp=ygUdYWxnb3JpdGhtIGJpYXMgZGlzY3JpbWluYXRpb24%3D,/@BlockchainCouncil,Blockchain Council,How can businesses mitigate bias and discrimination in AI algorithms ?,115,2 years,"In our latest webinar clip, we delve into the captivating realm of Artificial Intelligence and shine a light on a crucial issue that ...",2026-01-22 03:31:07.410792
/shorts/RWV4XX29ly0,/@Haru_Ai302,HUMAN AI TECH,AI Discrimination on YouTube: Hidden Bias in Algorithms 𝙴𝚡𝚙𝚕𝚊𝚒𝚗𝚎𝚍 | #shorts #shortvideo #shortfeed,1.1K,3 months,"AI-driven systems on YouTube are designed to recommend, moderate, and monetize content. However, these systems can ...",2026-01-22 03:31:07.413182
/watch?v=FQbl4uklNH0&pp=ygUdYWxnb3JpdGhtIGJpYXMgZGlzY3JpbWluYXRpb24%3D,/@drupalat,Drupal Austria,When AI Takes Decisions For Us - From Algorithmic Bias to Discrimination in the World,137,Streamed 2 years,"by Carina Zehetmaier In my talk, we will delve into the world of artificial intelligence (AI) decision-making, examining its profound ...",2026-01-22 03:31:07.414711
